1000 square meter	mål(et)
infant	"spebarn(et), baby(en)"
infantryman	grenader(en)
infection	infeksjon(en)
infidelity	utroskap(et)
inflammation	betennelse(n)
influence[s|d]	innvirke[r|t]
influence	innflytelse(en)
influx	pågang(en)
informer	angiver(en)
inhabitant	innbygger(en)
inhabited	bebodd
inherit[s|ed]	arve[r|t]
inheritance	arv(en)
inheritance tax	"arveavgift(en), arveskatt(en)"
inherited land	arvejord(en)
ink	blekk(et)
inn	#NAME?
inner	indre
innermost	innerst
innkeeper	gjestgiver(en)
innocent	uskyldig
innocence	uskyldighet(en)
inquiry	undersøkelse(n)
insane	vanvittig
insane asylum	sinnsykasyl(et)
insersion	innrykning(en)
date of insersion	innryksdato(en)
inside	"inni, i, inne"
insignificant	ubetydelig
inspection	"inspeksjon(en), gjennomsyn(et)"
inspector	"kontrollør(en), oppsynsmann(en)"
instalation	anlegg(et)
instant	øyeblikk(et)
instinct	"instinkt(et), drift(en)"
instruction	instruksjon(en)
instructive	belærende
instrument	instrument(et)
insulation	isolsjon(en)
insurance	forsikring(en)
insurance premium	forsikringspremie(en)
intellect	forstand(en)
intelligent	"intelligent, oppvakt"
intense	intens
intention	intensjon(en)
intercourse	samvær(et)
interest on money	rente(n)
interesting	interessant
interdisciplinary	tverrfaglig
interment	jordpåkastelse(n)
interval	omgang(en)
interview	intervju(et)
intestine	tarm(en)
intoxicated	"beruset, full"
intricate	innviklet
invest[s|ed]	satse[r|t]
invisible	usynlig
invite[s]	invitere[r]
involve[s]	engasjere[r]
involved	"engasjert, engasjerte"
involvement	engasjement(et)
iron	jern(et)
iron mill	jernverk(et)
iron ore	jernmalm(et)
iron pole	jernstang(en)
iron works	jernverk(et)
irrelevant	uvedkommende
irritate[s|d]	ergre[r|t]
is	er
island	øy(en)
isolation	isolsjon(en)
isotope	isotop(et)
issue	sak(en)
issue	utgivelse(n)
it	"den, det"
item	gjenstand(en)
its	"dens, dets, sin, sitt"
j.r. = junior	d.y. = den yngre
jacket	jakke(n)
jam	syltetøy(et)
jam[s|ed] together	stue[r|t]
January	januar
jaundice	gallfeber(en)
jaundice	gulsot(en)
jealous	sjalu
jealousy	sjalusi(en)
jerk	rykk(et)
jerk	dust(en)
jetty	brygge(n)
Jew	jøde(n)
jewlery	smykke(t)
jog[s|ed] along	dilte[r|t]
join[s]	forene[r]
joined	forent[e]
joint	felles
joint	ledd(et)
joint owner	medeier(en)
joke[s]	spøke[r]
joked	spøkt[e]
joker	spøkefugl(en)
journeyman	håndverkssvenn(en)
journalist	journalist(en)
journey	reise(n)
journeyman	svenn(en)
judge	dommer(en)
juice	saft(en)
juicy	saftig
July	juli
June	juni
junior high-school	ungdommsskole(n)
junk	skrap(et)
jump	hopp(et)
jump[s]	"hoppe[r], springe[r]"
jumped	sprang
jurisprudence	jus(en)
just	nettopp
just	rettferdig
just	såvidt
keep[s]	"beholde[r], forbli[r]"
keep[s] silent	tie[r]
keg	kagge(n)
kettle	kjele(n)
kick	spark(et)
kick	kikk(et)
kick[s]	sparke[r]
kill[s]	"drepe[r], kverke[r]"
kin	slekt(en)
kind	snill
kind	type
kindergarden	barnehage(n)
kindergarden assistant	barnehageassistent(en)
king	konge(n)
kingdom	kongedømme(t)
kitchen	kjøkken(et)
knapsack	skreppe(n)
knead[s|ed]	elte[r|t]
knee	kne(et)
knew	visste
knight	ridder(en)
knight[s|ed]	adle[r|t]
knit[s|ed]	strikke[r|t]
knitting	strikking(en)
knock[s|ed]	banke[r|t]
to know	å vite
knot	"knute(n), sløyfe(n)"
know[s]	vet
knowledge	kjennskap(en)
knowledge	kunnskap(en)
known	kjent
Labour Party	AP = Arbeiderpartiet
labour	"arbeid(et), strev(et)"
labourer	"arbeider(en), arbeidsmann(en), arbeidskar(en)"
labourous	strevsom
lace[s]	snøre[r]
ladder	stige(n)
ladies' hairdresser	damefrisør(en)
lady	dame(n)
ladybird	marihøne(n)
lake	"innsjø(en), sjø(en), vann(et)"
lamb	lam(met)
lame	"lam, halt"
land	land(et)
land	jord(et)
land number	gnr. = gårdsnummer(et)
land number	gårdsnummer(et)
land register	matrikkel(en)
land register	jordbok(en)
landowner	jordeier(en)
landslide	ras(et)
landtax	jordskatt(en)
lane	bygdevei(en)
language	språk(et)
Lapp	same(n)
Lappish	samisk
large	"stor, svær"
largest	størst
lark	lerke(n)
last	"sist, tilsist"
last name	etternavn(et)
last year	ifjor
last[s]	vare[r]
lasting	varig
late	"sen, sent"
late	forhenværende
lately	nylig
later	"senere, etter hvert, siden"
Latin	latin(en)
laugh[s|ed]	skratte[r|t]
laugh[s]	le[r]
laughed	lo
laundry	"vaskeri(et), vaskehus(et)"
laundry worker	vaskeriarbeider(en)
lava	lava(en)
lavatory	"toalett(et), do(en)"
outdoor lavatory	utedo(en)
law	lov(en)
law	jus(en)
administration of law	justis(en)
law obiding	lovlydig
law suit	rettsak(en)
law suit	stevnemål(et)
lawyer	"jurist(en), advokat(en), sakfører(en)"
[lay|lays|laid]	legge[r|t]
lay	lå
lay preacher	lekmann(en)
lazy	lat
lead	bly(et)
lead	"ført[e], ledet, anførte"
lead weight	lodd(et)
lead[s]	"lede[r], føre[r], anføre[r]"
leader	leder(en)
leaf	blad(et)
learn[s]	lære[r]
learned	lærte
lease	feste(t)
lease[s|d]	bygsle[r|t]
leasehold contract	bygselbrev(et)
leash	bånd(et)
leave[s]	"forlate[r], fraflytte[r]"
leave of absence	permisjon(en)
left hand side	venstre
leg	"ben(et), bein(et)"
legal	lovlig
legend	sagn(et)
legitimate	ekte
lemonade	saft(en)
lend[s]	låne[r] bort
length	lengde(n)
lengthman	banevokter(en)
lenient	overbærende
lent	lånt[e] bort
Lent	faste(n)
leprous	spedalsk
less	mindre
let[s]	la[r]
letter {character}	bokstav(en)
letter {correspondence}	brev(et)
level	nivå(et)
financial liabilities	passiva(ene)
financial liability	passivum(et)
librarian	bibliotekar(en)
library	bibliotek(et)
lice	lus(ene)
lick[s|ed]	slikke[r]
lie[s] (down)	ligge[r]
lie[s]	lyve[r]
lied	løy
lieutenant	løytnant(en)
lieutenant general	generalløyntnant(en)
life	liv(et)
life prisoner	livsfange(n)
lift	heis(en)
lift	skyss(et)
light	lys(et)
light	lett
light	lyst
light hearted	lystig
light infantry soldier	jeger(en)
light source	lyskilde(n)
lighthouse	"fyr(et), fyrtårn(et)"
lighthouse keeper	fyrvokter(en)
lightning	lyn(et)
like	lik
like	som
like this	slik
like[s]	like[r]
liked	likte
likewise	likeledes
lilly	lilje(n)
lime tree	lind(en)
limit	grense(n)
limit[s|ed]	begrense[r|t]
limited company	aksjeselskap(et)
limited partnership	kommandittselskap(et)
limitless	grenseløs
limp[s|ed]	halte[r|t]
line	"snøre(t), tråd(en)"
line	linje(n)
line	rekke(n)
line	bane(n)
lineage	slekt(en)
link	lenke(n)
lipp	leppe(n)
liquor	brennevin(en)
list	liste(n)
list of persons	personregister(et)
list[s]	oppføre[r]
listed	"ført[e], oppført[e]"
listen[s|ed]	høre[r]
listen[s|ed]	lytte[r|t]
liter	liter(en)
little	"lite, litt"
little by little	etter hvert
live	levende
live-in	samboer(en)
live[s]	leve[r]
live[s|d]	bo[r|dde]
lived	levde
livelihood	"erverv(et), næringsvei(en)"
lively	livlig
livestock	"buskap(et), kreatur(et), besetning(en)"
livestock trading	kreaturhandel(en)
living	"levende, nålevende"
living quarters	våningshus(et)
living-room	"stue(n), dagligstue(n)"
the living-room	stua
load	belastning(en)
load[s|ed]	lade[r|t]
loaf of white bread	loff(en)
loan	lån(et)
local	lokal
local government archive	kommunearkiv(et)
local government worker	kommunearbeider(en)
local council	kommunestyre(t)
location	sted(et)
location	beliggenhet(en)
lock	lås(en)
locomotive	lokomotiv(et)
lodging	losjerende
lodging	losji(en)
log	protokoll(en)
log	kubbe(n)
log driver	tømmerfløter(en)
logger	tømmerhugger(en)
logger	skogsarbeider(en)
lonely	alene
long	"lang, langt"
long	lenge
look[s]	"se[r], lete[r]"
loom	vev(en)
loop	slyng(en)
loose	løs
the Lord	Herren
lorry	lastebil(en)
lose[s]	tape[r]
loser	taper(en)
loss	tap(et)
lost and found	hittegods(et)
lot of land	tomt(en)
loud noice	larm(en)
loudspeaker	høytaler(en)
louse	lus(en)
lovable	kjælig
lovage	løpstikke(n)
love	kjælighet(en)
unhappy love affair	kjælighetssorg(en)
love[s|ed] or make love	elske[r|t]
lovely	yndig
low	lav
lower	nedre
loyal	lojal
luck	"hell(et), lykke(n)"
lucky	heldig
lung	lunge(n)
lure	lur(en)
lumber	"tømmer(et), trevirke(t)"
lumber {load of}	trelast(en)
lumber firm	trelastvirksomhed(en)
lumber jack	skogshogger(en)
lumber jack	skogsarbeider(en)
lumber worker	tømmerarbeider(en)
lust	"kåthet(en), brunst(en)"
lusty	"kåt, brunstig"
Lutheran	lutersk
luxurious	herskapelig
lye	lut(en)
lye cured fish	lutefisk(en)
machine	maskin(en)
machine operator	maskinist(en)
machine operator	maskinarbeider(en)
mad	gal
made	lagde
madhouse	sinnsykasyl(et)
madman	berserk(en)
madness	galskap(en)
magazine	blad(et)
magnificence	prakt(en)
magnificent specimen	prakteksemplar(et)
maid	pike(n)
maiden name	pikenavn(et)
mail	post(en)
mail carrier	postmann(en)
mailman	postmann(en)
main ..	hoved..
main building	hovedbygning(en)
main farm	hovedgård(en)
main switch	hovedbryter(en)
mainly	hovedsakelig
maintain[s]	underholde[r]
maize corn	mais(en)
major	major(en)
make[s]	lage[r]
male	mann(en)
male gender	mannkjønn(et)
mammal	pattedyr(et)
man	"mann(en), kar(en)"
man-labour year	årsverk(et)
manage[s]	klare[r]
manage[s|d]	behandle[r|t]
managed	klart[e]
management	drift(en)
manager	"forvalter(en), bestyrer(en), sjef(en), direktør(en)"
manager of estate	forpakter(en)
manor's archive	godsarkiv(et)
mansion/estate	herregård(en)
manual work	håndarbeide(t)
many	mange
map	kart(et)
maple	lønn(en)
maple tree	lønnetre(et)
March	mars
marital	ekteskapelig
marital status	sivilstand(en)
maritime	maritim
maritime court	sjørett(en)
maritime inquiry	sjøforklaring(en)
mark	"merke(t), segl(et)"
mark of repect	æresbevisning(en)
mark[s]	markere[r]
marks	karakter(ene)
marriage	ekteskap(et)
marriage witness	forlover(en)
married	gift
married couple	ektepar(et)
marriage	giftemål(et)
marriage certificate	vielsesattest(en)
marriage licence	ekteskapsbevillinge(en)
marriageable	gifteferdig
married couple	ektefolk(et)
marvel	under(et)
[marry|marries|married]	ekte[r|t]
[marry|marries|married]	ektevie[r|t]
masculine	mannlig
mason	murer(en)
mass	masse(n)
massage	massasje(n)
master	herre(n)
master	mester(en)
master baker	bakermester(en)
master builder	byggmester(en)
master cooper	bøkkermester(en)
master glazier	glassmester(en)
Master of Arts	magister(en)
master sawmiller	sagmester(en)
master tailor	skreddermester(en)
master/mistress	herskap(et)
master[s|ed]	mestre[r|t]
match stick	fyrstikk(en)
material	material(et)
maternal inheritance	morsarv(en)
mathematics	mattematikk(en)
matter of course	selvfølge(n)
may	kan
May	mai
maybe	kanskje
mayor	"ordfører(en), borgermester(en)"
me	meg
meadow	"eng, jord(et), mo(en)"
meager	mager
mean[s|t]	bety[r|dde]
mean[s]	mene[r]
meaning	mening(en)
means	middel(et)
means	midler
the means	midlene
meant	mente
meanwhile	imidlertid
measles	meslinger
measurement	mål(et)
measurement	måling(en)
meat	kjøtt(et)
meat	slakt(en)
meatball	kjøttbolle(n)
mechanic	mekaniker(en)
medal	medalje(n)
mediator	megler(en)
medical	medisink
medical assistance	legehjelp(en)
medical doctor	lege(n)
medical officer of health	distriktslege(n)
medicine	medisin(en)
meet[s]	møte[r]
meeting	møte(t)
meeting of heirs	skiftesamling(en)
melt[s|ed]	"smelte[r|t], tine[e|t]"
member	medlem(met)
memorial plaque	minnetavle(n)
memory	hukommelse(n)
men	menn(ene)
mental hospital	sinnsykehus(et)
mentally deficient	"åndssvak, åndsveik"
mentally ill	sinnsyk
mentally retarded	tilbakestående
mentally retarded	utviklingshemmet
mention[s]	"nevne[r], anføre[r]"
mentioned	"nevnt[e], anført[e]"
mentioned above	overnevnte
mentioned above	overstående
mentoring	oppfølging(en)
merchant	"handelsmann(en), kjøpmann(en)"
merciful	nådig
mercy	nåde(n)
mermaid	sjøfrue(en)
mess	rot(et)
mess[es] up	rote[r]
message	"melding(en), beskjed(en)"
met	møtte
metal	metall(et)
metal print	ets(en)
micro	mikro..
micro cosmos	mikrokosmos(et)
mid..	midt..
middle	mitt(en)
middle class	borgerskap(et)
middle name	mellomnavn(et)
midnight	midnatt(en)
midshipman	kadett(en)
midsummer day	jonsok(en)
midwife	jordmor(en)
mighty	"mektig, veldig"
mild	mild
military	militær(et)
military campaign	felttog(et)
military duty	verneplikt(en)
milk	melk(en)
milk blotch	brennkopper
milkmaid	budeie(n)
mill	"kværn(en), mølle(n)"
miller	møller(en)
mind	sinn(et)
mind	forstand(en)
of sound mind	åndsfrisk
mine	min
mine	gruve(n)
miner	gruvearbeider(en)
minister	"prest(en), pastor(en)"
minute	minutt(et)
minutes	protokoll(en)
miracle	under(et)
miscelaneous	"annet, ymse"
miserable	ussel
Miss	frøken
Miss	jomfru(en)
miss[es|ed]	savne[r|t]
missionary	misjonær(en)
mistake	feil(en)
Mister	Herr
mix[es|ed]	blande[r|t]
mixture	blanding(en)
mobilize[s] soldiers	utkommandere[r]
mold	mugg(en)
mole	moldvarp(en)
moment	øyeblikk(et)
Monday	mandag(en)
monastery	kloster(et)
money	penger
monkey	"apekatt(en), ape(n)"
month	måned(en)
monthly	månedlig
monument	minnesmerke(t)
mood	stemning(en)
mood	humør(et)
moon	måne(n)
moonlight	måneskinn(et)
moose	elg(en)
moral	moral(en)
morbid humor	galgenhumor(en)
more	"mer, flere"
moreover	dessuten
morning	"formiddag(en), morgen(en)"
this morning	imorges
mortal	drepende
mortgage	pant(en)
mortgage register	pantebok(en)
mortgage[s]	pantsette[r]
mosquito	mygg(en)
moss	mose(n)
most	mest
moth	møll(en)
mother	mor(en)
mother-in-law	svigermor(en)
mother's brother	morbror(en)
mother's father	morfar(en)
mother's mother	mormor(en)
mother's sister	moster(en)
motor	motor(en)
motor boat	motorbåt(en)
motor cycle	motorsykkel(en)
motor mechanic	bilmekaniker(en)
mountain	"fjell(et), ås(en)"
mountain gap	skar(et)
mountain pass	skar(et)
mountain pasture	"seter(en), støl(en)"
mousse	fromasj(en)
mouth {mostly figurative}	gap(et)
move in	innflytte
move[s|d]	bevege[r|t]
move[s|d]	flytte[r|t]
move[s|d] very slowly	sneile[r|t]
move[s|d] from	fraflytte[r|t]
move[s|d] out	utflytte[r|t]
move[s|d] slowly	sige[r|t]
moveables	løsøre(t)
emotionally moved	grepet
movement	bevegelse(n)
movie	film(en)
movie theater	kino(en)
moving out	utflytning(en)
mowing season	slåttonn(en)
Mr. = mister	hr. = Herr
Mrs.	fru
much	mye
mud	gjørme(n)
muddle	rot(et)
muddle-headed	surrekopp(en)
mule	muldyr(et)
municipality	kommune(n)
murder	mord(et)
murder[s|ed]	myrde[r|t]
murderer	morder(en)
music	musikk(en)
musician	"musiker(en), spillemann(en)"
must	"må, skal"
mustache	bart(en)
muster[s|ed]	mønstre[r|t]
mute	stum
mutineer	opprør(en)
mutton	får(et)
my	mitt
myself	"selv, sjøl"
myth	"myte(n), sagn(et)"
nag[s]	mase[r]
nail	spiker(en)
finger nail	negl(en)
nail[s|d] together	stifte[r|t]
naked	naken
name	navn(et)
name[s]	kalle[r]
named	kalt[e]
is named	hete[r]
nap	lur(en)
narcotics	narkotika(et)
narrow	"smal, trang"
nasty	stygg
nation	"nasjon(en), rike(t)"
national costume	"bunad(en), nasjonaldrakt(en)"
the national government	staten
National Insurance	folketrygd(en)
national railway	statsbanene(n)
nationality	nasjonalitet(en)
national ..	riks..
national assembly	riksforsamling(en)
naughtiness	uskikkelighet(en)
naughty children	trollpakk(et)
naughty	uskikkelig
nautical mile	sjømil(a|en)
naval battle	sjøslag(et)
naval cadet	sjøkadett(en)
navigation	navigasjon(en)
navigation mark	sjømerke(t)
navigation shiping	sjøfart(en)
navy	marine(n)
navy service	orlogstjeneste(n)
near	nær
need	behov(et)
negotiator	megler(en)
negro	neger(en)
neighbour	nabo(en)
neighbourhood	"nabolag(et), grend(en), omegn(en)"
nephew	nevø(en)
nerve	nerve(n)
net	nett(et)
net	netto
net property	nettoformue(en)
nettle rash	elveblest(en)
network	nettverk(et)
never	aldri
new	ny
new	nytt
New Norwegian	nynorsk
new year	nyttår(et)
newborn	nyfødt
newcomer	innflytter(en)
news	nyhet(en)
newspaper	avis(en)
next	"neste, andre"
next to	ved siden av
nice	fin
nickname	"kallenavn(et), klengenavn(et)"
niece	niese(n)
night	natt(en)
nights	netter
the nights	nettene
nine	ni
nineteen	nitten
nineteenth	nittende
nineth	niende
ninetieth	nittiende
ninety	nitti
nipple	brystvorte(n)
no	nei
no. = number	nr. = nummer(et)
nobility	adel(en)
noble	adelig
nobleman	"adelsmann(en), fyrste(n)"
nobody	ingen
noice	uro(en)
nook	krok(en)
Nordic	nordisk
the Nordic countries	Norden
Norway	Norge
Norwegian	norsk(e)
Norwegian Railways	NSB = Norges Statsbaner
Norwegian Recistance Movement {World War 2}	MILORG
nor	eller
nor this nor ..	hverken dette eller ..
north	nord
the North Sea	Nordsjøen
northern	nordre
nonsense	sludder(et)
nose	nese(n)
not	"ikke, ei"
note	"merknad(den), anmerkning(en), note(n)"
note[s]	"merke[r], registrere[r]"
noted	registrert[e]
nothing	"ingen, ingenting, intet, ingensomhelst"
notice	anmerkning(en)
notwithstanding	uaktet
novel	annerledes
November	november
now	nå
nudge[s|d]	lirke[r|t]
nuicance	plage(n)
number	"tall(et), nummer(et)"
number	antall(et)
numerous	tallrik
nurse	"sykepleier(en), sykepleierske(n), diakon(en)"
nurse[s|d]	pleie[r|t]
nursing home	"sykehjem(et), pleiehjem(et)"
oak	eik(en)
oak tree	eiketre(et)
oar	åre(n)
oasis	oase(n)
oath	ed(en)
oats	havre(n)
obey[s|ed] orders	adlyde[r|t]
object	objekt(et)
object of antiquity	fornminne(t)
obtain[s|ed]	"skaffe[r|t], anskaffe[r|t]"
obvious	selvfølge(n)
occupant	beboer(en)
occupation	stilling(en)
occupational therapist	arbeidsterapeut(en)
occupied	bebodd
occurence	begivenhet(en)
ocean	hav(et)
October	oktober
octopus	blekksprut(en)
odd	underlig
of	av
of age	myndig
off	av
off print	særtrykk(et)
offer[s]	tilby[r]
office	kontor(et)
office clerk	"kontorbetjent(en), kontormann(en), kontorist(en)"
office machine	kontormaskin(en)
office manager	kontorsjef(en)
offspring	avkom(met)
often	ofte
oil	olje(n)
old	"gammel, gamle"
old age	alderdom(men)
old people's home	gamlehjem(met)
older	eldre
oldest	eldst
omit[s|ted]	unnlate[r|t]
on	på
on board	ombord
one	en
one and a half	halvannen
oneself	seg
onion	løk(en)
onlooker	tilskuer(en)
only	"bare, kun"
only	eneste
only child	enebarn
open	åpen
open hearth	åre(n)
open-hearth cottage	årestue(n)
open-hearth room	årestue(n)
operate[s]	drive[r]
operated	drev
operating receipt	driftsinntekt(en)
operation	drift(en)
operational	istand
opinion	"mening(en), oppfatning(en)"
opinion[s]	mene[r]
opinioned	mente
opportunity	"anledning(en), sjanse(n)"
optician	optiker(en)
or	eller
oral	muntlig
orchard	frukthage(n)
orchestra	orkester(et)
order	orden
order	bestilling(en)
order[s]	bestille[r]
order[s]	kommandere[r]
order[s|ed]	beordre[r|t]
ordered	kommandert[e]
ordinary	alminnelig
ore	malm(en)
organ (instrument)	orgel(et)
organ	organ(et)
organism	organisme(n)
organizing	planlegging(en)
orgy	orgie(t)
origin	opphav(et)
original	opprinnelig
origin	opprinnelse(n)
orphan	foreldreløs
orphan	hittebarn(et)
oscilation	svingning(en)
other	annen
other	annet
other	andre
others	andre
our	vår
out	ut
out of wedlock	uekte
out of wedlock	utenomekteskaplig
outdoor life	friluftsliv(et)
outdoors	utendørs
outhouse	uthus(et)
outlay	utlegg(et)
outline	omriss(et)
outside	"ute, utenfor"
outside of	utenom
oven	ovn(en)
over	over
owl	ugle(n)
own	egen
own[s]	eie[r]
own[s]	ha[r]
owned	eid[e]
owned	hadde
owner	eier(en)
ox	okse(n)
team of oxen	oksespann(et)
paddleship	hjulbåt(en)
page	side(n)
page number	sidenummer(et)
paid	betalt[e]
pain	smerte(n)
labour pain	ve(en)
painful	vond
paint	maling(en)
paint[s]	male[r]
painted	"malt, malte"
painter	maler(en)
painting	maleri(et)
pair	par(et)
palace	slott(et)
pale	blek
pallet	pall(en)
pants	bukse(n)
paper	papir(et)
piece of paper	lapp(en)
paper clip	binders(en)
parachute	fallskjerm(en)
parasite	parasitt(en)
parcel	pakke(n)
pardon[s|ed]	benåde[r|t]
parents	foreldre(ne)
parish	"sogn(et), menighet(en), prestegjeld(et)"
parish clerk	klokker(en)
parish record	kirkebok(en)
parliament	storting(et)
parsonage	prestegård(en)
part	"del(en), part(en)"
part of a town	bydel(en)
[take|took] part	delta[r|tt]
partially	delvis
participation	deltagelse(n)
participator	deltager(en)
particular leasehold	bygsel(et)
parting word	avskedsord(et)
partitioned	delt
partitioning	deling(en)
party	fest(en)
political party	parti(et)
pass[s|ed] exam	bestå[r|tt]
passing	forbigående
passiv	passiv
passport	pass(et)
past	fortid(en)
paternity	farskap(et)
path	sti(en)
path	bane(n)
pathless	ulendt
patience	tålmodighet(en)
patient	tålmodig
pattern	"mønster(et), struktur(en)"
pauper	fattiglem(met)
paupers reference	fattigattest(en)
pawn[s]	pantsette[r]
pay	lønn(en)
pay[s]	betale[r]
payment	"lønning(en), utbetaling(en)"
pea	ert(en)
peace	fred(en)
peace	ro(en)
peculiar	underlig
pedestrian	fotgjenger(en)
pedestrian street	gågate(en)
pedigree	stamtavle(n)
pedigree chart	anetavle(n)
peer[s|ed]	myse[r|t]
pen	penn(en)
pen	bås(en)
pension	pensjon(en)
Pentecost	pinse(n)
people	"folk(et), befolkning(en)"
pepper	pepper(et)
perform[s]	utføre[r]
perform[s]	yte[r]
performed	utført[e]
perhaps	kanskje
periodical	tidsskrift(et)
permission	"tillatelse(n), bevilgning(en)"
permit[s|ed]	"tillate[r], bevilge[r|t]"
permitted	lovlig
person	person(en)
person	menneske(t)
person concerned	vedkommende
personal	personlig
person's number	personnummer(et)
pest	"pest(en), plage(n)"
pestilence	farsot(en)
pet	kjæledyr(et)
pet owner	matmor(en)
pet owner	matfar(en)
petrol station	bensinstasjon(en)
pharmacist	apoteker(en)
pharmacy	apotek(et)
phase	fase(n)
phosphorescence	morild(en)
photo	foto(et)
photograph	fotografi(et)
photographer	fotograf(en)
photographic archive	fotoarkiv(et)
physician	lege(n)
physician assistant	legehjelper(en)
pick pocket	lommetyv(en)
picture	bilde(t)
piece	stykke(t)
piece	stykk
pig	"gris(en), svin(et), galt(en)"
pike	gjedde(n)
pilot	"flyver(en), pilot(en), fører(en)"
ship's pilot	los(en)
pine	furu(a|en)
pipe	rør(et)
pittance	almisse(n)
placate[s]	blidgjøre[r]
placated	blidgjorde
place	"sted(et), plass(en), åsted(et)"
place of arrival	ankomststed(et)
place of birth	fødested(et)
place of departure	avreisested(et)
place of destination	bestemmelsessted(et)
place of residence	bosted(et)
place[s|d]	stille[r|t]
placename	stedsnavn(et)
plague	"pest(en), farsot(en)"
plan	plan(en)
plan[s]	planlegge[r]
plank	planke(n)
planned	"planla, planlagt"
planning	planlegging(en)
plant	plante(n)
plastic	plast(en)
plate	"tallerken(en), fat(et)"
please	vær så snill
pleased	fornøyd
pleasurable	deilig
plot of land	parsell(en)
plow	plog(en)
plumber	rørlegger(en)
pneumonia	lungebetennelse(n)
pocket	lomme(n)
pod	belg(en)
poem	dikt(et)
point	spiss(en)
to the point	saklig
point[s|ed]	peke[r|t]
pointed	spiss
poison	gift(en)
poisonous	giftig
pole	stang(en)
police	politi(et)
politician	politiker(en)
politics	politikk(en)
pollution	forurensning(en)
pool	baseng(et)
poor	"fattig, arm, ussel"
poor	"dårlig, ring"
poor house	fattighus(et)
poor man	fattigmann(en)
Poor Man's Biscuit {Christmas cookie}	fattigmann(en)
poor peolpe	fattigfolk(et)
poor relief fund	fattigkasse(n)
popular	populær
popular education	folkeopplysning(en)
population	folketall(et)
population	befolkning(en)
porridge	grøt(en)
port	havn(en)
portable property	innbo(et)
portray[s|ed]	skildre[r|t]
position	posisjon(en)
position	plass(en)
position	stilling(en)
position within the family	familiestatus(en)
position within the family	familiestilling(en)
possess[es]	besitte[r]
possession	besittelse(n)
possibility	mulighet(en)
possibility	høve(t)
possible	mulig
post	post(en)
post chaise	skyssvogn(en)
postal area	poststed(et)
postal code	postnummer(et)
postal service	postgang(en)
posting inn	skysstasjon(en)
posting station	skysstasjon(en)
postmaster	postmester(en)
potato	potet(en)
potato dumplings	kumle(n)
potter	pottemaker(en)
poultry	"fjærfe(et), fjærkre(et)"
povertry	armod(et)
poverty	fattigdom(men)
power	"kraft(en), makt(en)"
powder	pulver(et)
practice[s|d]	øve[r|t]
praise[s|d]	prise[r|t]
pray[s]	be[r]
prayer	bønn(en)
prayer day	bededag(en)
pre-emption	forkjøp(et)
preciding judge	lagmann(en)
precious	edel
precipitation	nedbør(en)
predecessor	forgjenger(en)
pregnant	gravid
premise	forutsetning(en)
premises	lokal(et)
preoccupied	åndsfraværende
preparation	forberedelse(n)
present	nåværende
present	"tilstede, tilstedeværende"
preserve[s]	"bevare[r], sylte[r]"
press[es]	trykke[r]
pressure	trykk(et)
presume[s]	anta[r]
presumed	antok
pretence	påskudd(et)
pretend[s|ed]	late[r|t]
pretended	lot
pretext	påskudd(et)
pretty	pen
preventive	forebyggende
previous	"forrige, foregående"
price	pris(en)
pride	stolthet(en)
priest	prest(en)
primary	primær
primary health service	primærhelsetjeneste(n)
prime minister	statsminister(en)
prince	prins(en)
princess	prinsesse(n)
principal	rektor(en)
principally	hovedsakelig
print	"trykk(et), avtrykk(et)"
print[s]	trykke[r]
printer	boktrykker(en)
printer	skriver(en)
printing house	boktrykkeri(et)
prior	tidligere
prison	fengsel(et)
prisoner	"fange(n), straffange(n)"
prisoner of war	krigsfange(n)
private	privat
private soldier	menig(en)
privy	do(en)
probably	trolig
probate	skifte(t)
probate court	skifterett(en)
probate estate	dødsbo(et)
probate judge	skifteretsdommer(en)
probate proceeding	arvesak(en)
probate protocols	skiftebøker
probate record	skifteprotokoll(en)
process[es|ed]	bearbeide[r|t]
proclaim[s]	forkynne[r]
proclaimed	forkynte
procure[s|d]	formidle[r|t]
produce[s]	produsere[r]
productive land	teig(en)
profession	"yrke(t), fag(et)"
professional	professionell
professional competence	fagkompetanse(n)
profit	"fortjeneste(n), gevinst(en), utbytte(t)"
progenitor	stamfar(en)
progress	"framgang(en), fremgang(en)"
promice[s|d]	love[r|t]
prominent	fremstående
promontory	"nes(et), odde(n), tange(n), skag(et)"
prompt	omgående
pronounce[s]	uttale[r]
pronounced	utpreget
proof	bevis(et)
proon	sviske(n)
proper	"skikkelig, ordentlig"
proper	anstendig
property	"eiendom(men), formue(n), gods(et)"
property tax	formueskatt(en)
prophet	profet(en)
prophetic	profetisk
prosperity	velstand(en)
proud	stolt
prove[s|d]	bevise[r]
provide[s|d] for	forsørge[r|t]
provoke[s]	utløse[r]
proximity	nærhet(en)
Prussian	preussisk
public	"offentlig, almen"
public office	embete(t)
public outdoor area	friluftsområde(t)
the public records	statsarkivet
Public Records Office	riksarkiv(et)
public recreational area	friområde(t)
public school	almueskole(n)
public trustee	overformynder(en)
publicly announce[s]	tinglyse[r]
publish[es|ed]	utgi[r|tt]
publish[es]	annonsere[r]
publisher	forlegger(en)
publishing company	forlag(et)
pull[s|ed]	dra[r|tt]
pull[s|ed]	rykke[r|t]
pulled	dro
pulley	talje(n)
pulp	tremasse(n)
